id,street_id,activity,task_description,status,street,start_year,stop_date_actual,route_ahead,route_back
266697202,14080,"Mill & Overlay - 2""",,Completed,MOONEY RD,2013,2013-09-15,LINDBERG AVE,GOLDENROD ST
1325416746,8101,Mill & Overlay 3 or More,,Completed,N BRADDOCK AVE,2014,2014-04-15,ALSACE WAY,TIOGA ST
1560269313,16607,Mill & Overlay 3 or More,,Completed,ADELPHIA ST,2013,2013-07-30,LIVINGSTON ST,HAWTHORNE CT
1124318021,10702,Mill & Overlay 3 or More,,Completed,WOODWORTH ST,2014,2014-10-03,DEAD END,BAUM BLVD
1462011266,9804,Mill & Overlay 3 or More,,Completed,CRAFTMONT AVE,2011,2011-08-18,TARNER ST,OAKWOOD RD
1729028860,13199,Mill & Overlay 3 or More,,Completed,CASTLEGATE AVE,2013,2013-09-19,FORDHAM AVE,TEXOLA WAY
172618802,2275,Mill & Overlay 3 or More,,Completed,BAYONNE AVE,2013,2013-06-03,RUTHERFORD AVE,BELASCO AVE
683041643,5996,Mill & Overlay 3 or More,,Completed,SENECA ST,2009,2009-05-15,FORBES AVE,WATSON ST
496430777,19023,"Mill & Overlay - 2""",,Completed,S 22ND ST,2012,2012-07-23,SARAH ST,CAREY WAY
924163094,11635,Mill & Overlay 3 or More,,Completed,HAMILTON AVE,2014,2014-06-20,NEUMAN WAY,BRUSHTON AVE
1901693848,17458,Mill & Overlay 3 or More,,Completed,ST PAUL ST,2012,2012-06-22,YARD WAY,MONASTERY AVE
1288901315,8949,Mill & Overlay 3 or More,,Completed,PARKHURST ST,2010,2010-10-19,SANDUSKY ST,BALPH WAY
2006316974,14291,AC Overlay 3 or more,,Completed,WINDFALL WAY,2011,2011-10-10,DEAD END,BELPLAIN ST
1081649504,18813,Mill & Overlay 3 or More,,Completed,WELLESLEY AVE,2010,2010-05-14,N EUCLID AVE,N ST CLAIR ST
425594321,7504,Mill & Overlay 3 or More,,Completed,MILLERTON AVE,2011,2011-11-01,TERMON AVE,OHIO RIVER BLVD
1811273699,1618,Mill & Overlay 3 or More,,Completed,NORTHUMBERLAND ST,2012,2012-05-16,MURRAY AVE,VALMONT ST
850876564,1715,Mill & Overlay 3 or More,,Completed,BERLIN WAY,2013,2013-10-31,OASIS WAY,51ST ST
239423741,10349,"Mill & Overlay - 2""",,Completed,REED ST,2012,2012-05-18,MILLER ST,VINE ST
1476578426,156,Mill & Overlay 3 or More,,Completed,N BRADDOCK AVE,2014,2014-04-15,CASSINA WAY,SUSQUEHANNA ST
1351911653,591,Mill & Overlay 3 or More,,Completed,BRACEY DR,2012,2012-07-31,DEAD END,WILNER DR
1039771884,1695,"Mill & Overlay - 2""",,Completed,BELHURST AVE,2013,2013-08-21,MENDON WAY,HAVEN ST
2032034815,9943,Mill & Overlay 3 or More,,Completed,FOUNTAIN ST,2014,2014-09-01,LORAINE ST,HENDERSON ST
385373891,1229,"Mill & Overlay - 2""",,Completed,LIBERTY AVE,2012,2012-08-03,ASPEN ST,S WINEBIDDLE ST
536925459,4644,Mill & Overlay 3 or More,,Completed,DINWIDDIE ST,2012,2012-06-14,ROSE ST,REED ST
1491687432,14843,Mill & Overlay 3 or More,,Completed,STRANAHAN ST,2013,2013-08-01,OBERLIN ST,OAKDENE ST
1285803781,11781,"Mill & Overlay - 2""",,Completed,ROSCOE ST,2012,2012-08-02,CROSMAN ST,ST LEO ST
773318296,4415,AC Overlay 3 or more,,Completed,EILER AVE,2010,2010-06-25,CARRICK AVE,DEAD END
